Launching algorithm with 108 blocks and 64 threads
markerMatrix read successfully :)
Converting into CSR ... 
generating input and output vectors for the moltiplication... 
copying data in the CUDA memory... 
performing matrix to vector multiplication...
thread 16 60 on row 180850
thread 17 60 on row 180897
thread 18 60 on row 180944
thread 19 60 on row 180991
thread 20 60 on row 181038
thread 21 60 on row 181085
thread 22 60 on row 181132
thread 23 60 on row 181179
thread 24 60 on row 181226
thread 25 60 on row 181273
thread 26 60 on row 181320
thread 27 60 on row 181367
thread 28 60 on row 181414
thread 29 60 on row 181461
thread 30 60 on row 181508
thread 31 60 on row 181555
thread 32 105 on row 316634
thread 33 105 on row 316681
thread 34 105 on row 316728
thread 35 105 on row 316775
thread 36 105 on row 316822
thread 37 105 on row 316869
thread 38 105 on row 316916
thread 39 105 on row 316963
thread 40 105 on row 317010
thread 41 105 on row 317057
thread 42 105 on row 317104
thread 43 105 on row 317151
thread 44 105 on row 317198
thread 45 105 on row 317245
thread 46 105 on row 317292
thread 47 105 on row 317339
thread 48 105 on row 317386
thread 49 105 on row 317433
thread 50 105 on row 317480
thread 51 105 on row 317527
thread 52 105 on row 317574
thread 53 105 on row 317621
thread 54 105 on row 317668
thread 55 105 on row 317715
thread 56 105 on row 317762
thread 57 105 on row 317809
thread 58 105 on row 317856
thread 59 105 on row 317903
thread 60 105 on row 317950
thread 61 105 on row 317997
thread 62 105 on row 318044
thread 63 105 on row 318091
thread 0 57 on row 171092
thread 1 57 on row 171139
thread 2 57 on row 171186
thread 3 57 on row 171233
thread 4 57 on row 171280
thread 5 57 on row 171327
thread 6 57 on row 171374
thread 7 57 on row 171421
thread 8 57 on row 171468
thread 9 57 on row 171515
thread 10 57 on row 171562
thread 11 57 on row 171609
thread 12 57 on row 171656
thread 13 57 on row 171703
thread 14 57 on row 171750
thread 15 57 on row 171797
thread 16 57 on row 171844
thread 17 57 on row 171891
thread 18 57 on row 171938
thread 19 57 on row 171985
thread 20 57 on row 172032
thread 21 57 on row 172079
thread 22 57 on row 172126
thread 23 57 on row 172173
thread 24 57 on row 172220
thread 25 57 on row 172267
thread 26 57 on row 172314
thread 27 57 on row 172361
thread 28 57 on row 172408
thread 29 57 on row 172455
thread 30 57 on row 172502
thread 31 57 on row 172549
thread 32 38 on row 115579
thread 33 38 on row 115626
thread 34 38 on row 115673
thread 35 38 on row 115720
thread 36 38 on row 115767
thread 37 38 on row 115814
thread 38 38 on row 115861
thread 39 38 on row 115908
thread 40 38 on row 115955
thread 41 38 on row 116002
thread 42 38 on row 116049
thread 43 38 on row 116096
thread 44 38 on row 116143
thread 45 38 on row 116190
thread 46 38 on row 116237
thread 47 38 on row 116284
thread 48 38 on row 116331
thread 49 38 on row 116378
thread 50 38 on row 116425
thread 51 38 on row 116472
thread 52 38 on row 116519
thread 53 38 on row 116566
thread 54 38 on row 116613
thread 55 38 on row 116660
thread 56 38 on row 116707
thread 57 38 on row 116754
thread 58 38 on row 116801
thread 59 38 on row 116848
thread 60 38 on row 116895
thread 61 38 on row 116942
thread 62 38 on row 116989
thread 63 38 on row 117036
thread 0 10 on row 30032
thread 1 10 on row 30079
thread 2 10 on row 30126
thread 3 10 on row 30173
thread 4 10 on row 30220
thread 5 10 on row 30267
thread 6 10 on row 30314
thread 7 10 on row 30361
thread 8 10 on row 30408
thread 9 10 on row 30455
thread 10 10 on row 30502
thread 11 10 on row 30549
thread 12 10 on row 30596
thread 13 10 on row 30643
thread 14 10 on row 30690
thread 15 10 on row 30737
thread 16 10 on row 30784
thread 17 10 on row 30831
thread 18 10 on row 30878
thread 19 10 on row 30925
thread 20 10 on row 30972
thread 21 10 on row 31019
thread 22 10 on row 31066
thread 23 10 on row 31113
thread 24 10 on row 31160
thread 25 10 on row 31207
thread 26 10 on row 31254
thread 27 10 on row 31301
thread 28 10 on row 31348
thread 29 10 on row 31395
thread 30 10 on row 31442
thread 31 10 on row 31489
thread 0 69 on row 207103
thread 1 69 on row 207150
thread 2 69 on row 207197
thread 3 69 on row 207244
thread 4 69 on row 207291
thread 5 69 on row 207338
thread 6 69 on row 207385
thread 7 69 on row 207432
thread 8 69 on row 207479
thread 9 69 on row 207526
thread 10 69 on row 207573
thread 11 69 on row 207620
thread 12 69 on row 207667
thread 13 69 on row 207714
thread 14 69 on row 207761
thread 15 69 on row 207808
thread 16 69 on row 207855
thread 17 69 on row 207902
thread 18 69 on row 207949
thread 19 69 on row 207996
thread 20 69 on row 208043
thread 21 69 on row 208090
thread 22 69 on row 208137
thread 23 69 on row 208184
thread 24 69 on row 208231
thread 25 69 on row 208278
thread 26 69 on row 208325
thread 27 69 on row 208372
thread 28 69 on row 208419
thread 29 69 on row 208466
thread 30 69 on row 208513
thread 31 69 on row 208560
thread 32 57 on row 172597
thread 33 57 on row 172644
thread 34 57 on row 172691
