Launching algorithm with 108 blocks and 64 threads
markerMatrix read successfully :)
Converting into CSR ... 
generating input and output vectors for the moltiplication... 
copying data in the CUDA memory... 
performing matrix to vector multiplication...
thread 32 91 on row 274605
thread 33 91 on row 274652
thread 34 91 on row 274699
thread 35 91 on row 274746
thread 36 91 on row 274793
thread 37 91 on row 274840
thread 38 91 on row 274887
thread 39 91 on row 274934
thread 40 91 on row 274981
thread 41 91 on row 275028
thread 42 91 on row 275075
thread 43 91 on row 275122
thread 44 91 on row 275169
thread 45 91 on row 275216
thread 46 91 on row 275263
thread 47 91 on row 275310
thread 48 91 on row 275357
thread 49 91 on row 275404
thread 50 91 on row 275451
thread 51 91 on row 275498
thread 52 91 on row 275545
thread 53 91 on row 275592
thread 54 91 on row 275639
thread 55 91 on row 275686
thread 56 91 on row 275733
thread 57 91 on row 275780
thread 58 91 on row 275827
thread 59 91 on row 275874
thread 60 91 on row 275921
thread 61 91 on row 275968
thread 62 91 on row 276015
thread 63 91 on row 276062
thread 0 70 on row 210082
thread 1 70 on row 210129
thread 2 70 on row 210176
thread 3 70 on row 210223
thread 4 70 on row 210270
thread 5 70 on row 210317
thread 6 70 on row 210364
thread 7 70 on row 210411
thread 8 70 on row 210458
thread 9 70 on row 210505
thread 10 70 on row 210552
thread 11 70 on row 210599
thread 12 70 on row 210646
thread 13 70 on row 210693
thread 14 70 on row 210740
thread 15 70 on row 210787
thread 16 70 on row 210834
thread 17 70 on row 210881
thread 18 70 on row 210928
thread 19 70 on row 210975
thread 20 70 on row 211022
thread 21 70 on row 211069
thread 22 70 on row 211116
thread 23 70 on row 211163
thread 24 70 on row 211210
thread 25 70 on row 211257
thread 26 70 on row 211304
thread 27 70 on row 211351
thread 28 70 on row 211398
thread 29 70 on row 211445
thread 30 70 on row 211492
thread 31 70 on row 211539
thread 0 101 on row 303112
thread 1 101 on row 303159
thread 2 101 on row 303206
thread 3 101 on row 303253
thread 4 101 on row 303300
thread 5 101 on row 303347
thread 6 101 on row 303394
thread 7 101 on row 303441
thread 8 101 on row 303488
thread 9 101 on row 303535
thread 10 101 on row 303582
thread 11 101 on row 303629
thread 12 101 on row 303676
thread 13 101 on row 303723
thread 14 101 on row 303770
thread 15 101 on row 303817
thread 16 101 on row 303864
thread 17 101 on row 303911
thread 18 101 on row 303958
thread 19 101 on row 304005
thread 20 101 on row 304052
thread 21 101 on row 304099
thread 22 101 on row 304146
thread 23 101 on row 304193
thread 24 101 on row 304240
thread 25 101 on row 304287
thread 26 101 on row 304334
thread 27 101 on row 304381
thread 28 101 on row 304428
thread 29 101 on row 304475
thread 30 101 on row 304522
thread 31 101 on row 304569
thread 0 72 on row 216083
thread 1 72 on row 216130
thread 2 72 on row 216177
thread 3 72 on row 216224
thread 4 72 on row 216271
thread 5 72 on row 216318
thread 6 72 on row 216365
thread 7 72 on row 216412
thread 8 72 on row 216459
thread 9 72 on row 216506
thread 10 72 on row 216553
thread 11 72 on row 216600
thread 12 72 on row 216647
thread 13 72 on row 216694
thread 14 72 on row 216741
thread 15 72 on row 216788
thread 16 72 on row 216835
thread 17 72 on row 216882
thread 18 72 on row 216929
thread 19 72 on row 216976
thread 20 72 on row 217023
thread 21 72 on row 217070
thread 22 72 on row 217117
thread 23 72 on row 217164
thread 24 72 on row 217211
thread 25 72 on row 217258
thread 26 72 on row 217305
thread 27 72 on row 217352
thread 28 72 on row 217399
thread 29 72 on row 217446
thread 30 72 on row 217493
thread 31 72 on row 217540
thread 32 103 on row 310618
thread 33 103 on row 310665
thread 34 103 on row 310712
thread 35 103 on row 310759
thread 36 103 on row 310806
thread 37 103 on row 310853
thread 38 103 on row 310900
thread 39 103 on row 310947
thread 40 103 on row 310994
thread 41 103 on row 311041
thread 42 103 on row 311088
thread 43 103 on row 311135
thread 44 103 on row 311182
thread 45 103 on row 311229
thread 46 103 on row 311276
thread 47 103 on row 311323
thread 48 103 on row 311370
thread 49 103 on row 311417
thread 50 103 on row 311464
thread 51 103 on row 311511
thread 52 103 on row 311558
thread 53 103 on row 311605
thread 54 103 on row 311652
thread 55 103 on row 311699
thread 56 103 on row 311746
thread 57 103 on row 311793
thread 58 103 on row 311840
thread 59 103 on row 311887
thread 60 103 on row 311934
thread 61 103 on row 311981
thread 62 103 on row 312028
thread 63 103 on row 312075
thread 0 41 on row 123057
thread 1 41 on row 123104
thread 2 41 on row 123151
thread 3 41 on row 123198
thread 4 41 on row 123245
thread 5 41 on row 123292
thread 6 41 on row 123339
thread 7 41 on row 123386
thread 8 41 on row 123433
thread 9 41 on row 123480
thread 10 41 on row 123527
thread 11 41 on row 123574
thread 12 41 on row 123621
thread 13 41 on row 123668
thread 14 41 on row 123715
thread 15 41 on row 123762
thread 16 41 on row 123809
thread 17 41 on row 123856
